,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
0,46,1000385412041408565,,,2,2,12,9
1,46,1000400335282361328,0,60,0,23,0,161
2,46,1000558441535520566,,,0,12,12,67
3,46,1003200614770244799,,,2,0,16,0
4,46,1003713923115890238,60,0,23,0,161,0
5,46,1004567882358859299,60,0,23,0,161,0
6,46,1004734158580760410,0,60,0,23,0,161
7,46,1005454408747305679,,,7,4,48,13
8,46,1006003012278214453,60,0,23,0,161,0
9,46,1006235379059772386,0,60,0,23,0,161
10,46,1007392278459573100,,,12,0,89,0
11,46,100927970158485910,,,9,0,77,0
12,46,1009333266625513049,,,0,10,0,83
13,46,1010479668839241668,60,0,23,0,161,0
14,46,1010954516905912579,60,0,16,0,112,0
15,46,1011603928978119029,,,1,0,7,0
16,46,1012919347352044037,,,3,0,41,0
17,46,1012964275950235204,,,3,0,21,0
18,46,101309509464394483,0,60,0,23,21,140
19,46,1013860325619674531,60,0,23,0,161,0
20,46,1013928287505433710,60,0,23,0,161,0
21,46,1015214744820193842,,,13,0,91,0
22,46,1015372118842025109,60,0,23,0,161,0
23,46,1015387272958179949,60,0,23,0,161,0
24,46,1016295610192823996,60,0,23,0,154,0
25,46,1016340945788417334,,,8,0,55,0
26,46,1016634108828761839,60,0,23,0,161,0
27,46,1019058292591476179,,,0,12,0,84
28,46,1019542728515086296,60,0,23,0,161,0
29,46,1019560701115878725,,,10,0,70,0
30,46,1019604210961591619,,,11,0,69,0
31,46,1021481785936132445,60,0,23,0,161,0
32,46,1021751857440600161,,,12,0,84,0
33,46,1021872076660489708,,,13,0,80,0
34,46,1022591884403771382,60,0,23,0,161,0
35,46,1022997542207533123,,,14,0,98,0
36,46,1023195882669842302,60,0,14,0,98,0
37,46,1024015964072928046,,,0,10,23,47
38,46,1025343019535068501,60,0,11,0,77,0
39,46,1026043486905735229,,,0,1,0,62
40,46,1026140097564791670,60,0,23,0,161,0
41,46,1026215891482405791,,,6,7,58,28
42,46,1026252971907679697,,,0,9,0,61
43,46,1027536014731046481,,,11,0,71,0
44,46,1027897731988099017,,,0,9,0,59
45,46,1027940035533410279,,,11,0,72,0
46,46,1028640502295407243,0,60,0,23,0,161
47,46,1029401875370154802,,,4,0,52,0
48,46,1029676627360251501,60,0,23,0,161,0
49,46,1030520037427647364,,,10,0,79,0
50,46,1030744217790694351,,,0,7,0,65
51,46,1030838843716892116,,,1,0,7,0
52,46,1031418415121069817,,,5,0,30,0
53,46,1031837096861134419,,,4,0,24,0
54,46,1032470530071453453,30,30,23,0,130,31
55,46,1034306204553914959,0,60,0,23,0,161
56,46,1034685929854317101,0,60,0,23,0,138
57,46,1034937556355683894,,,0,10,10,73
58,46,1034949516386825720,,,10,0,83,0
59,46,1036522294471450615,,,0,4,7,36
60,46,1036774495338293873,,,0,3,0,41
61,46,1038179518281210829,,,10,0,76,0
62,46,1038266841183338064,,,4,0,53,0
63,46,1039561743854937175,60,0,16,0,107,0
64,46,1040311241747249138,,,11,1,82,2
65,46,1040732551176103056,,,12,0,81,0
66,46,1041483507949914259,60,0,23,0,161,0
67,46,1042030963402089390,,,2,0,23,0
68,46,1042592690930927782,0,60,0,23,0,161
69,46,1042980416206099690,,,10,0,65,0
70,46,1043071991291188607,60,0,23,0,161,0
71,46,1043917341584031554,60,0,23,0,161,0
72,46,1043933350899013734,,,4,0,28,0
73,46,1044350569730321852,,,9,0,76,0
74,46,1045126309015021879,60,0,23,0,161,0
75,46,1046062902039176146,60,0,14,0,103,0
76,46,1046144624268631443,60,0,23,0,161,0
77,46,1046625104556736637,,,13,0,79,18
78,46,1046695203099528435,60,0,23,0,138,23
79,46,1048044940732308745,,,0,10,0,70
80,46,1048208623308015242,60,0,23,0,161,0
81,46,1048472060871258012,60,0,14,0,97,0
82,46,1048487412286895027,,,5,0,35,0
83,46,104915753821730949,0,60,0,23,20,119
84,46,1049573275137902434,60,0,23,0,161,0
85,46,1049982020610429807,60,0,23,0,161,0
86,46,1050110736424701586,,,7,0,81,0
87,46,1050423000865414301,60,0,14,0,103,0
88,46,1050521747034630519,,,0,12,0,84
89,46,1050565545391667097,,,1,0,34,0
90,46,1050708729116493133,0,60,0,23,0,161
91,46,1053878807136352286,,,6,0,55,0
92,46,1054127900102066513,60,0,19,4,146,15
93,46,1054594275499808502,0,60,0,23,0,161
94,46,1054904576685614049,30,30,0,23,51,110
95,46,1056058812228241727,,,0,8,0,63
96,46,1057525043621726214,60,0,23,0,161,0
97,46,1057820506590851592,60,0,9,0,63,0
98,46,1058415345127439531,,,0,0,56,0
99,46,1059123788319082228,0,60,0,23,0,161
100,46,1060079720879560216,60,0,4,0,28,0
101,46,1060179255899616212,,,1,0,67,0
102,46,1060707578719574169,60,0,13,0,92,0
103,46,1061377620149100407,60,0,12,0,84,0
104,46,1062490453651181568,0,60,0,23,21,118
105,46,1064112117197892037,,,12,0,78,0
106,46,106468360682739586,,,9,0,63,0
107,46,1065143266538840095,,,11,0,72,0
108,46,1066245913385646140,,,10,0,83,0
109,46,1067538211658205745,,,0,1,14,48
110,46,1068022646604801297,,,13,0,91,0
111,46,1068641097810732404,60,0,23,0,161,0
112,46,1068919759104443995,60,0,23,0,158,3
113,46,1069175913867471706,60,0,23,0,89,0
114,46,10698744144787762,,,2,0,64,0
115,46,1070946354555868260,,,11,0,77,0
